subject;channels;auc_cross_val_mean;auc_cross_val_std
Dog_4;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];0.8677983000980714;0.05344434021888826
Dog_4;[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];0.8728367113435762;0.02466586330709093
Dog_4;[1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16];0.8895270104609349;0.020037979582529456
Dog_4;[2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16];0.8976552795031056;0.029587896935005718
Dog_4;[2, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16];0.8724438133376922;0.04350935051375549
Dog_4;[2, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16];0.8756721967963387;0.03380638924623147
Dog_4;[2, 4, 5, 7, 8, 9, 12, 13, 14, 16];0.8867914351095129;0.03873577869742397
Dog_4;[2, 4, 5, 7, 8, 9, 12, 13, 14];0.8757739457339;0.03978011637418674
Dog_4;[2, 4, 5, 7, 9, 12, 13, 14];0.8660918600849952;0.025696027287764833
Dog_4;[2, 4, 5, 7, 9, 12, 14];0.8508385093167702;0.06119337572823448
Dog_4;[2, 4, 5, 7, 12, 14];0.8714306145799281;0.028884142403326252
Dog_4;[12, 2, 4, 14, 7];0.8375764138607387;0.0415036445998167
Dog_4;[2, 12, 14, 7];0.8169083033671134;0.023448517904402857
Dog_4;[2, 12, 14];0.8338991500490355;0.03959455931862299
Dog_4;[2, 14];0.7898075351422034;0.052717560470230476
Dog_4;[14];0.8054257927427264;0.031394200616695025
