subject;channels;auc_cross_val_mean;auc_cross_val_std
Dog_1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];0.805;0.08730732755298633
Dog_1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16];0.8451041666666667;0.08251131025165243
Dog_1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16];0.8638541666666667;0.048572951292074305
Dog_1;[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16];0.8568749999999999;0.05510249288573268
Dog_1;[1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 16];0.8586458333333334;0.033875153751188596
Dog_1;[1, 2, 3, 4, 5, 8, 9, 10, 13, 14, 16];0.8588541666666666;0.12216312096946443
Dog_1;[1, 2, 4, 5, 8, 9, 10, 13, 14, 16];0.8742708333333333;0.057312117562034304
Dog_1;[1, 2, 4, 5, 8, 9, 13, 14, 16];0.8770833333333332;0.05344064724325276
Dog_1;[1, 2, 4, 5, 8, 9, 14, 16];0.8609375;0.09037321344476656
Dog_1;[1, 2, 4, 5, 8, 9, 14];0.8619791666666666;0.07777560760861266
Dog_1;[1, 2, 4, 5, 9, 14];0.8726041666666667;0.06814888724941398
Dog_1;[1, 2, 4, 5, 14];0.8984375;0.04415241515352121
Dog_1;[1, 2, 5, 14];0.8403125000000001;0.07922667681686796
Dog_1;[1, 5, 14];0.8351041666666668;0.04710314848523632
Dog_1;[1, 5];0.8225;0.05859168977859501
Dog_1;[5];0.8183333333333334;0.05425313611006996
Dog_2;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];0.9705833333333332;0.02745709335142085
Dog_2;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16];0.9828333333333333;0.009284844281587764
Dog_2;[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16];0.9856944444444444;0.009757871150139031
Dog_2;[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16];0.9863611111111112;0.01573713466319097
Dog_2;[2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16];0.9776111111111112;0.0071698959132896365
Dog_2;[2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16];0.9777222222222223;0.014640391025608407
Dog_2;[2, 4, 5, 6, 8, 10, 12, 13, 14, 16];0.9817777777777777;0.01440577087725264
Dog_2;[2, 5, 6, 8, 10, 12, 13, 14, 16];0.9767777777777779;0.012652587204321655
Dog_2;[5, 6, 8, 10, 12, 13, 14, 16];0.9693888888888889;0.01600795519826405
Dog_2;[5, 6, 8, 10, 12, 14, 16];0.9767222222222223;0.010506317911113382
Dog_2;[5, 6, 8, 12, 14, 16];0.9791666666666666;0.02052099196216186
Dog_2;[16, 14, 12, 5, 6];0.9584722222222222;0.019407504594045593
Dog_2;[14, 12, 5, 6];0.9660833333333333;0.010965856099730666
Dog_2;[12, 5, 14];0.9308333333333334;0.03740079470338092
Dog_2;[5, 14];0.9182222222222223;0.020249104537433317
Dog_2;[5];0.8871944444444445;0.06109156252990817
